0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.37,0,1.25,0.37,-1.25,-1.25,-0.25,-0.75,-2.38,-4.25,1.88,1.25,1.75,-3.88,-2.5,1,-4.63,-3,-4.5,-3.75,-1.88,-1.75,-1.25,0.5,1,1.25,1.12,1.5,3.75,2.5,3,-5.38,-10.5,0.63,6.5,-5.88,1.273840016
1.37,-0.12,1.12,0.25,-1.5,-1.25,-0.25,-0.88,-2.5,-4.25,2,1.37,2,-3.88,-2.88,7,-4.63,-3.13,-4.75,-3.75,-1.88,-2.38,-1.25,0.63,0.88,1.88,1.12,1.25,4.25,2.5,3,-12.13,-9.5,12.88,6,-11.13,1.289814647
1.37,-0.5,1.12,0.25,-1.5,-1.25,-0.25,-0.75,-2.38,-4.25,1.88,1.5,2,-3.75,-2.88,0.75,-4.63,-3,-4.63,-3.25,-2.13,-2.63,-1,0.37,0.88,1.75,1,0.88,4.38,2.63,3,-24.5,-4.63,8.38,-6.25,-9.75,1.30163436
1.37,-0.37,1.12,0.12,-1.5,-1.12,-0.25,-0.75,-2.38,-4,1.88,1.37,1.37,-3.75,-3.13,0.88,-4.63,-3,-4.5,-3.25,-2.25,-2.63,-0.88,0.25,1.63,1.5,0.63,1.12,4.38,2.5,3,-4.75,7.38,6.5,-0.5,-10,1.305687535
1.5,0,1,0,-1.5,-1.25,-0.12,-0.63,-2.38,-4.38,2,1.37,1.37,-3.75,-2.75,-0.75,-4.75,-3.13,-4.13,-3.5,-2.63,-2.25,-0.63,0.37,1.37,1.12,0.37,1.25,4.5,2.5,3.25,23.25,6.38,-16.25,-9.63,-2.63,1.297521363
1.37,0.63,1.12,0.25,-1.5,-1.12,-0.12,-1,-2.5,-4.25,1.88,1.37,1.88,-4,-2.75,0.12,-4.63,-2.75,-4.5,-3.88,-2.5,-2.38,-1.12,0.75,0.75,1.12,0.88,1.25,4.5,2.63,2.88,3.75,-10.38,-15.25,-7.38,-14.25,1.27417313
1.37,-0.12,1.25,0.12,-1.25,-1,-0.25,-0.88,-2.5,-4.38,1.75,1.88,2.25,-3.88,-3.13,0,-4.5,-2.88,-4.63,-3.63,-2.38,-2.38,-0.5,0.25,0.75,1.37,0.75,1.75,4.63,2.25,3.13,-10.25,-4.88,-44.13,-15.88,30.75,1.236394201
1.37,0,1.12,0.37,-1.37,-1.37,-0.12,-0.75,-2.5,-4.25,2.13,1.5,1.63,-4,-3,-4.38,-4.75,-3.13,-4.5,-3.75,-2.25,-1.88,-1.12,0,1,1.12,1.37,1.5,3.88,2.5,3.13,-4.63,-12.63,-2.38,31.25,9.75,1.18794046
1.37,0,1.12,0.37,-1.5,-1.37,-0.12,-1,-2.25,-4.13,2,1.37,2,-3.88,-2.63,7,-4.5,-2.88,-4.63,-3.75,-2.13,-3,-1.12,0.63,0.88,1.75,0.88,1,4.25,2.5,3.25,-29.5,-8.25,5.88,5.25,0.12,1.133250535
1.37,-0.25,1.25,0.25,-1.5,-1.25,-0.25,-0.75,-2.38,-4.13,2,1.37,-0.63,-3.88,-2.88,4.88,-4.63,-3.13,-4.13,-3.38,-2.5,-2.63,-1.12,0.37,1.37,1.5,0.37,1.37,4.38,2.5,3.25,-5.5,2.5,0.75,-10,0.88,1.075947386
