0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,rate,p,n
-2,-1.88,0.12,-0.75,-2.5,-0.5,0.5,-1,-0.63,-2.75,0.37,0.25,4.88,-2.63,-1.25,0.25,-4.88,-1.63,-2.75,-1,0.88,-0.25,1.63,0.75,-0.25,1,0.37,1.63,4.75,1.75,2.75,5.75,-5.63,-14,-4.63,-10,1.007111079,0,0,0
-2,-1.88,0.12,-0.63,-2.38,-0.63,0.5,-0.88,-0.75,-2.63,0.63,0.12,3.5,-2.63,-1.37,-9.88,-5,-2.13,-2.5,-1,0.63,0.25,1.25,0,0.25,0.88,0.5,1.63,5.13,1.5,2.5,-9.38,-9.13,-1.37,-14.38,7.88,0.999115379,0,0,0
-2,-1.88,0.25,-0.63,-2.38,-0.5,0.5,-0.88,-0.5,-2.75,0.63,0,4.75,-2.88,-0.88,-4.38,-5.25,-1.75,-2.38,-1.12,1.25,-0.25,0.37,0.5,0.12,1,0.5,2,4.75,1.12,2.75,-9.13,5.13,-15.75,12.88,7.13,0.98902751,1,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.63,0.5,-0.88,-0.5,-2.88,0.5,0.25,4.88,-2.88,-1.12,1.5,-5,-1.88,-2.5,-0.63,0.88,-0.63,1.12,0.5,0.37,1.25,1,1.37,4.38,1.63,2.75,-7,-4.38,17.62,10.88,-10.5,0.979302083,0,0,0
-2,-1.75,0,-0.75,-2.5,-0.63,0.63,-0.63,-0.75,-2.88,0.63,0.12,4,-2.5,-1.5,0,-5.13,-1.88,-1.88,-0.88,0.37,-0.12,1.12,0.37,0.5,0.63,0.25,1.37,4.88,1.5,3,-4.63,12.63,3.88,-0.37,-10.38,0.972884319,0,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.63,0.63,-1,-0.75,-2.75,0.63,0.12,8,-2.63,-1.25,0.37,-5.13,-1.5,-2.5,-1.25,0.88,-0.25,0.88,0.88,-0.12,0.88,0.12,1.75,4.63,1.75,2.88,26.87,9.63,-14.63,0.37,-13.13,0.972986492,1,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.5,0.37,-0.88,-0.63,-2.88,0.63,0.12,4.63,-3.13,-1.25,-0.88,-5,-2.13,-2.63,-1,0.75,0.12,1.5,0.5,0.25,0.88,0.63,1.75,5.25,1.63,2.63,4,0.25,-15,-23.25,-13.63,0.982439334,0,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.75,0.63,-0.88,-0.75,-2.5,0.63,0.37,4,-2.88,-1.25,-4.38,-5.25,-2.25,-2.38,-1.12,1.37,0.37,1,0.25,0.12,0.88,0.37,2.13,5,1.12,2.75,-9.25,0.37,-41.38,-4.88,25.75,1.002731315,1,0,0
-2,-1.88,0.25,-0.75,-2.5,-0.63,0.37,-1,-0.63,-2.63,0.75,0.12,4.38,-2.63,-1.12,10.63,-5.13,-1.75,-2.38,-0.63,1,-0.25,1.12,0.5,0.12,1.37,1.12,1.88,4.38,1.63,2.75,-5.13,-15.75,-4,25.5,-5.5,1.033031471,0,1,0
-2,-1.75,0.12,-0.88,-2.25,-0.63,0.5,-0.88,-0.63,-2.88,0.63,0,2.13,-2.88,-1.37,3.75,-5.38,-1.88,-2,-1,0.5,-0.12,1.37,0.5,0.75,0.88,0.63,1.12,4.88,1.37,2.75,-15.13,-3.88,12.13,0.12,-10,1.069423226,1,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.63,0.63,-1,-0.75,-2.63,0.5,0,5.38,-2.75,-1.25,0.75,-5.13,-1.5,-2,-1.25,0.75,0,1.12,1.37,0,0.37,-0.12,1.88,4.88,1.37,2.88,6.63,2.88,-11.13,-9.75,5.25,1.105081661,0,1,0
-2,-1.88,0.12,-0.88,-2.38,-0.5,0.37,-1,-0.63,-2.75,0.5,0.12,4.25,-3.25,-1.37,0.37,-4.75,-1.75,-2.63,-1,0.75,-0.12,1.5,0.63,-0.37,1,0.5,1.88,4.88,1.75,2.88,6.75,-10.38,-13.88,-0.88,-15.38,1.13260551,1,0,0
-2,-1.88,0.12,-0.5,-2.38,-0.63,0.5,-0.88,-0.75,-2.5,0.75,0.25,3.5,-2.88,-1.37,-4.5,-5.13,-2.13,-2.38,-1,0.75,0.37,1.25,0,0.25,0.88,0.37,1.63,5.13,1.37,2.5,-10.38,-9.63,-12.63,-13.25,16.25,1.147519599,0,0,0
-2,-1.88,0.25,-0.63,-2.38,-0.5,0.5,-1,-0.5,-2.75,0.63,-0.12,4.88,-2.88,-1.12,6,-5.25,-1.75,-2.38,-1.12,1.25,-0.63,0.5,0.5,0.12,1.5,0.75,2.13,4.5,1.12,2.75,-10,3.63,-6,22.5,5.38,1.149712589,1,0,0
-2.13,-1.75,0.25,-0.75,-2.5,-0.5,0.37,-0.63,-0.63,-2.75,0.63,0.25,4.88,-2.75,-1.37,1,-5.13,-1.88,-2.38,-0.63,0.75,-0.5,1,0.37,0.63,1.12,0.88,1.5,4.5,1.37,2.63,-17.87,-4.75,38.63,4.75,-9.5,1.142092073,0,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.5,0.75,-0.88,-0.75,-2.63,0.63,0.12,4,-2.88,-1.37,0.5,-5.25,-1.75,-2.25,-1.12,0.5,0,1,0.88,0.37,0.5,0.12,1.63,5,1.5,2.88,-10.75,12.63,0.5,-8.25,0.12,1.128577181,1,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.75,0.5,-1,-0.75,-2.75,0.5,0.25,12.63,-3.13,-1.25,0.63,-5.13,-1.75,-2.5,-1.12,0.88,-0.12,1.25,1.12,-0.25,0.88,0.63,1.75,4.75,1.88,2.75,26.25,4.88,0.37,-4.75,-17.25,1.112854901,0,0,0
-2,-1.75,0.12,-0.75,-2.5,-0.5,0.37,-0.88,-0.88,-2.75,0.37,0.25,4.63,-2.88,-1.25,-1.12,-4.88,-1.88,-2.5,-0.88,0.75,0.37,1.63,0.37,0.12,0.88,0.5,1.63,5.38,1.5,2.5,0.75,1.25,-14.63,-22,-14.13,1.09790244,1,0,0
-2,-1.88,0,-0.5,-2.5,-0.75,0.5,-0.88,-0.75,-2.75,0.75,0.12,4.25,-2.75,-1,-4,-5.38,-1.88,-2.25,-1.12,1.37,0.25,0.88,0.5,0.25,0.75,0.5,2.13,4.88,1,2.75,-10,0.75,-21.75,-5.13,2.88,1.085868385,0,0,0
-2.13,-1.88,0.12,-0.63,-2.5,-0.5,0.5,-0.88,-0.63,-2.63,1,0.12,4.38,-2.25,-1.37,5,-5.13,-1.88,-2.25,-0.5,1.12,-0.37,1.25,0.63,0,1.25,1,1.88,4.25,1.5,2.75,-4.63,-19.62,0.37,6.5,-5.75,1.078033477,1,0,0
-2,-1.75,0,-0.88,-2.5,-0.63,0.5,-0.75,-0.75,-2.75,0.63,0.12,2.88,-2.88,-1.63,-0.63,-5.25,-1.75,-2,-0.63,0.37,-0.12,1.12,0.37,0.63,0.75,0.75,1.12,5,1.5,2.88,-10.38,7.13,5.75,0,-10.13,1.074750286,0,0,0
-1.88,-2,0.12,-0.75,-2.5,-0.5,0.75,-1,-0.75,-2.75,0.5,0.12,5.25,-2.88,-1.12,0.5,-5.25,-1.5,-2.25,-1.5,1,-0.12,0.63,1.25,-0.12,0.37,0,1.88,4.88,1.5,2.88,1.75,6,-16.75,-9.63,3.88,1.075377522,1,0,0
-2,-1.88,0.12,-0.75,-2.5,-0.5,0.37,-0.88,-0.75,-2.75,0.37,0.12,4.38,-3,-1.5,0,-4.88,-1.88,-2.63,-1.12,0.88,-0.25,1.5,0.88,-0.25,1,0.5,1.75,5.13,1.75,2.75,5.75,-5.38,0.88,-6.38,-19.87,1.078269928,0,0,0
-2,-1.88,0.12,-0.63,-2.63,-0.63,0.5,-0.88,-0.75,-2.75,0.75,0.12,4.13,-2.88,-1,-4.75,-5.13,-2.25,-2.38,-1,0.63,0.37,1.25,-0.37,0.25,0.88,0.5,1.88,5.25,1.37,2.63,-11,1,-3.13,-15.13,12.25,1.080850423,1,0,0
-2,-1.88,0.25,-0.88,-2.5,-0.63,0.5,-1,-0.63,-2.5,0.63,0,4.88,-2.88,-1,1.37,-5.38,-1.88,-2.38,-1.12,1.25,-0.25,0.37,0.63,0.12,1.37,0.88,2.13,4.63,1.12,2.75,-10,-7.63,-10.38,27.37,9.25,1.07974557,0,0,0
-2,-1.75,0.12,-0.75,-2.63,-0.75,0.5,-0.75,-0.5,-2.88,0.63,0.25,4.13,-2.75,-1.37,1.88,-5.38,-1.88,-2.38,-0.75,0.63,-0.12,1.12,0.5,0.75,1.25,0.88,1.37,4.88,1.37,2.75,-17.62,-9.75,14.38,4.5,-10.5,1.071115414,1,0,1
-2,-1.88,0,-0.75,-2.5,-0.75,0.63,-0.75,-1,-2.75,0.5,0,4.13,-2.75,-1,0.37,-5.25,-1.88,-2,-1.12,0.37,0,1.12,0.63,0.37,0.5,0.25,1.75,4.88,1.5,3,-4.38,31.37,3.88,-14.88,-5.5,1.051656813,0,0,0
-2,-1.88,0.25,-0.75,-2.75,-0.37,0.5,-1.12,-0.63,-2.75,0.5,0.25,10.13,-3.13,-1.12,0.5,-5,-1.75,-2.5,-1.12,0.88,-0.12,1.75,0.88,-0.25,0.75,0.37,1.75,4.75,1.88,2.88,25.87,-2.38,-15.5,-4.63,-26.5,1.020421048,0,0,1
-2.13,-1.88,0.12,-0.88,-2.5,-0.5,0.37,-1,-0.75,-2.88,0.37,0.37,3.63,-2.88,-1.25,-1.25,-5.13,-2,-2.5,-1,0.63,0.63,1.37,0.37,0.25,1,0.5,1.5,5.25,1.5,2.63,-5.75,-9.75,-10.13,-20.62,-4.38,0.97991365,1,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.5,0.5,-1,-0.75,-2.63,0.75,0.25,4.25,-3,-0.75,-3.75,-5.25,-1.88,-2.38,-1.12,1.25,0.25,0.63,0.5,0.12,0.63,0.37,2.25,4.88,1.12,2.75,-9.88,0.63,-25.12,-3.38,9.38,0.934847633,0,0,1
-2,-1.88,0.25,-0.75,-2.5,-0.5,0.5,-0.88,-0.5,-2.88,0.63,0.25,4.75,-2.63,-1.25,1,-5.25,-1.88,-2.5,-0.37,1,-0.37,1,0.63,0.12,1.25,0.88,1.75,4.38,1.5,2.88,-5.5,-14.25,1,11.75,-5.38,0.889925405,0,0,1
-2,-1.75,0.12,-0.75,-2.38,-0.63,0.5,-1,-0.75,-2.75,0.63,0.12,3,-2.88,-1.37,-1.5,-5.13,-1.88,-2.13,-0.88,0.37,0,1.12,0.25,0.75,0.88,0.63,1.5,4.88,1.5,2.75,-11.13,1.88,6,0.37,-9.88,0.848693515,1,0,0
-2,-1.88,0.25,-0.75,-2.5,-0.37,0.75,-1.12,-0.75,-2.75,0.63,0.12,5.38,-3.13,-1.25,0.25,-5.38,-1.63,-2.38,-1.37,0.63,0,0.88,1.12,0,0.5,0,1.75,4.88,1.37,3,3,5,-0.25,-9.38,-1.75,0.813444147,0,0,1
